Locus,Gene,Start,Length,Product,Allele Count,Alleles
Rv0982,mprB,1097508,1515,two component histidine-protein kinase/phosphatase MprB,355,Rv0982.fasta
Rv0983,pepD,1099066,1395,serine protease PepD,360,Rv0983.fasta
Rv0984,moaB2,1100460,546,pterin-4-alpha-carbinolamine dehydratase,118,Rv0984.fasta
Rv0985c,mscL,1101025,456,large-conductance ion mechanosensitive channel,165,Rv0985c.fasta
Rv0987,,1102542,2568,adhesion component ABC transporter permease,1083,Rv0987.fasta
Rv0988,,1105116,1161,hypothetical protein,555,Rv0988.fasta
Rv0989c,grcC2,1106405,978,polyprenyl-diphosphate synthase GrcC,370,Rv0989c.fasta
Rv0990c,,1107443,657,hypothetical protein,227,Rv0990c.fasta
Rv0991c,,1108172,333,hypothetical protein,102,Rv0991c.fasta
Rv0992c,,1108578,594,hypothetical protein,179,Rv0992c.fasta
Rv0993,galU,1109272,921,UTP--glucose-1-phosphate uridylyltransferase,163,Rv0993.fasta
Rv0994,moeA1,1110269,1281,molybdopterin molybdenumtransferase 1,258,Rv0994.fasta
Rv0995,rimJ,1111612,612,ribosomal-protein-alanine acetyltransferase RimJ,212,Rv0995.fasta
Rv0996,,1112384,1077,transmembrane protein,269,Rv0996.fasta
Rv0997,,1114293,432,hypothetical protein,142,Rv0997.fasta
Rv0997a,,1113861,252,hypothetical protein,58,Rv0997a.fasta
Rv0998,,1114748,1002,acetyltransferase,254,Rv0998.fasta
Rv0999,,1115767,759,hypothetical protein,215,Rv0999.fasta
Rv1000c,,1116531,618,hypothetical protein,173,Rv1000c.fasta
Rv1001,arcA,1117185,1209,arginine deiminase,336,Rv1001.fasta
Rv1002c,,1118428,1512,dolichyl-phosphate-mannose--protein mannosyltransferase,333,Rv1002c.fasta
Rv1003,,1120022,858,rRNA small subunit methyltransferase I,228,Rv1003.fasta
Rv1005c,,1122222,1377,para-aminobenzoate synthase component I,342,Rv1005c.fasta
Rv1006,,1123714,1704,hypothetical protein,402,Rv1006.fasta
Rv1007c,metS,1125444,1560,methionine--tRNA ligase,298,Rv1007c.fasta
Rv1008,tatD,1127089,795,deoxyribonuclease TatD,247,Rv1008.fasta
Rv1009,rpfB,1128091,1089,resuscitation-promoting factor RpfB,301,Rv1009.fasta
Rv1011,ispE,1130191,921,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,260,Rv1011.fasta
Rv1012,,1131128,294,hypothetical protein,82,Rv1012.fasta
Rv1013,pks16,1131625,1635,polyketide synthase,298,Rv1013.fasta
Rv1014c,pth,1133333,576,peptidyl-tRNA hydrolase,137,Rv1014c.fasta
Rv1015c,rplY,1133921,648,50S ribosomal protein L25,171,Rv1015c.fasta
Rv1016c,lpqT,1134785,681,lipoprotein LpqT,175,Rv1016c.fasta
Rv1017c,prsA,1135501,981,ribose-phosphate pyrophosphokinase,179,Rv1017c.fasta
Rv1019,,1138315,594,transcriptional regulator,114,Rv1019.fasta
Rv1020,mfd,1138967,3705,transcription-repair coupling factor,939,Rv1020.fasta
Rv1021,,1142671,978,nucleoside triphosphate pyrophosphohydrolase,259,Rv1021.fasta
Rv1022,lpqU,1143736,732,lipoprotein LpqU,171,Rv1022.fasta
Rv1023,eno,1144564,1290,enolase,306,Rv1023.fasta
Rv1024,,1145858,687,membrane protein,168,Rv1024.fasta
Rv1026,,1147019,960,hypothetical protein,263,Rv1026.fasta
Rv1027c,kdpE,1148427,681,transcriptional regulator KdpE,242,Rv1027c.fasta
Rv1028A,kdpF,1151920,93,membrane protein KdpF,25,Rv1028A.fasta
Rv1028c,kdpD,1149104,2583,sensor protein KdpD,634,Rv1028c.fasta
Rv1029,kdpA,1152012,1716,potassium-transporting ATPase subunit A,527,Rv1029.fasta
Rv1030,kdpB,1153724,2130,potassium-transporting ATPase subunit B,614,Rv1030.fasta
Rv1031,kdpC,1155853,570,potassium-transporting ATPase subunit C,170,Rv1031.fasta
Rv1032c,trcS,1156426,1530,two component sensor histidine kinase TrcS,404,Rv1032c.fasta
Rv1033c,trcR,1157963,774,two component transcriptional regulator TrcR,203,Rv1033c.fasta
Rv1056,,1177628,765,hypothetical protein,223,Rv1056.fasta
Rv1057,,1179396,1182,hypothetical protein,330,Rv1057.fasta
Rv1058,fadD14,1180684,1632,fatty-acid--CoA ligase FadD14,382,Rv1058.fasta
Rv1060,,1183508,474,hypothetical protein,126,Rv1060.fasta
Rv1061,,1184015,864,hypothetical protein,243,Rv1061.fasta
Rv1062,,1184883,858,hypothetical protein,241,Rv1062.fasta
Rv1063c,,1185741,1083,NTE family protein,299,Rv1063c.fasta
Rv1064c,lpqV,1186904,420,lipoprotein LpqV,143,Rv1064c.fasta
Rv1065,,1187435,567,hypothetical protein,177,Rv1065.fasta
Rv1066,,1187998,396,hypothetical protein,134,Rv1066.fasta
Rv1069c,,1192510,1764,hypothetical protein,450,Rv1069c.fasta
Rv1070c,echA8,1194270,774,enoyl-CoA hydratase EchA8,142,Rv1070c.fasta
Rv1071c,echA9,1195055,1038,enoyl-CoA hydratase EchA9,241,Rv1071c.fasta
Rv1072,,1196279,837,transmembrane protein,222,Rv1072.fasta
Rv1073,,1197231,852,hypothetical protein,302,Rv1073.fasta
Rv1074c,fadA3,1198156,1218,beta-ketoacyl CoA thiolase FadA,338,Rv1074c.fasta
Rv1075c,,1199426,945,hypothetical protein,284,Rv1075c.fasta
Rv1076,lipU,1200767,894,lipase LipU,331,Rv1076.fasta
Rv1077,cbs,1201717,1395,cystathionine beta-synthase,390,Rv1077.fasta
Rv1079,metB,1204067,1167,cystathionine gamma-synthase,273,Rv1079.fasta
Rv1080c,greA,1205304,495,transcription elongation factor GreA,96,Rv1080c.fasta
Rv1081c,,1205984,435,membrane protein,104,Rv1081c.fasta
Rv1082,mca,1206520,867,mycothiol S-conjugate amidase,200,Rv1082.fasta
Rv1085c,,1209756,729,hemolysin-like protein,155,Rv1085c.fasta
Rv1086,,1210595,789,(2Z,,
Rv1088a,,1215225,183,hypothetical protein,57,Rv1088a.fasta
Rv1092c,coaA,1219248,939,pantothenate kinase,197,Rv1092c.fasta
Rv1093,glyA1,1220574,1281,serine hydroxymethyltransferase,264,Rv1093.fasta
Rv1094,desA2,1221959,828,acyl-ACP desaturase DesA,169,Rv1094.fasta
Rv1095,phoH2,1222997,1302,phosphate starvation-inducible protein PsiH,295,Rv1095.fasta
Rv1096,,1224385,876,glycosyl hydrolase,218,Rv1096.fasta
Rv1097c,,1225263,882,membrane glycine/proline-rich protein,248,Rv1097c.fasta
Rv1098c,fum,1226141,1425,fumarate hydratase,282,Rv1098c.fasta
Rv1099c,glpX,1227596,1089,fructose 1,,
Rv1100,,1228683,702,hypothetical protein,204,Rv1100.fasta
Rv1101c,,1229391,1158,hypothetical protein,240,Rv1101c.fasta
Rv1103c,mazE3,1230971,321,antitoxin MazE3,90,Rv1103c.fasta
Rv1106c,,1232844,1113,3 beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase,222,Rv1106c.fasta
Rv1108c,xseA,1234213,1248,exodeoxyribonuclease VII large subunit,301,Rv1108c.fasta
Rv1109c,,1235457,639,hypothetical protein,145,Rv1109c.fasta
Rv1110,lytB2,1236185,1008,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,218,Rv1110.fasta
Rv1111c,,1237209,984,hypothetical protein,251,Rv1111c.fasta
Rv1112,,1238255,1074,GTP-binding protein,272,Rv1112.fasta
Rv1113,vapB32,1239416,198,antitoxin VapB32,45,Rv1113.fasta
Rv1114,vapC32,1239610,375,ribonuclease VapC32,102,Rv1114.fasta
Rv1116,,1241003,186,hypothetical protein,54,Rv1116.fasta
Rv1117,,1241633,324,hypothetical protein,95,Rv1117.fasta
Rv1118c,,1241971,861,hypothetical protein,233,Rv1118c.fasta
Rv1119c,,1242864,150,hypothetical protein,43,Rv1119c.fasta
Rv1120c,,1243010,495,hypothetical protein,152,Rv1120c.fasta
Rv1121,zwf1,1243707,1401,glucose-6-phosphate 1-dehydrogenase,382,Rv1121.fasta
Rv1122,gnd2,1245129,1023,6-phosphogluconate dehydrogenase,273,Rv1122.fasta
Rv1124,ephC,1247127,951,epoxide hydrolase EphC,275,Rv1124.fasta
Rv1125,,1248082,1245,hypothetical protein,394,Rv1125.fasta
Rv1126c,,1249330,606,hypothetical protein,151,Rv1126c.fasta
Rv1127c,ppdK,1249932,1473,pyruvate,,
Rv1128c,,1251617,1356,hypothetical protein,379,Rv1128c.fasta
Rv1129c,,1253074,1461,transcriptional regulator,466,Rv1129c.fasta
Rv1130,prpD,1254555,1581,methylcitrate dehydratase PrpD,426,Rv1130.fasta
Rv1131,prpC,1256132,1182,methylcitrate synthase PrpC,246,Rv1131.fasta
Rv1132,,1257325,1731,hypothetical protein,511,Rv1132.fasta
Rv1133c,metE,1259067,2280,5-methyltetrahydropteroyltriglutamate-- homocysteine methyltransferase,432,Rv1133c.fasta
Rv1134,,1261922,237,hypothetical protein,78,Rv1134.fasta
Rv1138a,,1265034,405,hypothetical protein,121,Rv1138a.fasta
Rv1139c,,1266485,501,hypothetical protein,171,Rv1139c.fasta
Rv1140,,1267347,849,integral membrane protein,232,Rv1140.fasta
Rv1141c,echA11,1268203,807,enoyl-CoA hydratase EchA11,215,Rv1141c.fasta
Rv1142c,echA10,1269152,807,enoyl-CoA hydratase EchA10,210,Rv1142c.fasta
Rv1143,mcr,1270062,1083,alpha-methylacyl-CoA racemase,272,Rv1143.fasta
Rv1144,,1271156,753,oxidoreductase,198,Rv1144.fasta
Rv1145,,1272423,912,transmembrane transport protein,130,Rv1145.fasta
Rv1146,,1273355,1413,transmembrane transport protein,361,Rv1146.fasta
Rv1147,,1274900,651,hypothetical protein,183,Rv1147.fasta
Rv1151c,,1278904,714,NAD-dependent protein deacylase,208,Rv1151c.fasta
Rv1153c,omt,1279998,849,O-methyltransferase,218,Rv1153c.fasta
Rv1154c,,1280843,642,hypothetical protein,191,Rv1154c.fasta
Rv1155a,,1282030,189,hypothetical protein,52,Rv1155a.fasta
Rv1156,,1282306,588,hypothetical protein,164,Rv1156.fasta
Rv1159,pimE,1284992,1296,polyprenol-phosphate-mannose-dependent alpha-(1-2)-phosphatidylinositol pentamannoside mannosyltransferase,342,Rv1159.fasta
Rv1159A,,1286284,285,pterin-4-alpha-carbinolamine dehydratase,95,Rv1159A.fasta
Rv1160,mutT2,1286595,426,8-oxo-dGTP diphosphatase,112,Rv1160.fasta
Rv1161,narG,1287328,3699,nitrate reductase subunit alpha,833,Rv1161.fasta
Rv1162,narH,1291065,1677,nitrate reductase subunit beta,447,Rv1162.fasta
Rv1163,narJ,1292798,606,nitrate reductase subunit delta,168,Rv1163.fasta
Rv1164,narI,1293406,741,nitrate reductase subunit gamma,193,Rv1164.fasta
Rv1166,lpqW,1296152,1908,monoacyl phosphatidylinositol tetramannoside-binding protein LpqW,414,Rv1166.fasta
Rv1167c,,1298087,606,transcriptional regulator,131,Rv1167c.fasta
Rv1170,mshB,1300304,912,1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase,215,Rv1170.fasta
Rv1171,,1301307,441,hypothetical protein,115,Rv1171.fasta
Rv1173,fbiC,1302931,2571,FO synthase,580,Rv1173.fasta
Rv1174c,TB8.4,1305669,333,low molecular weight T-cell antigen,135,Rv1174c.fasta
Rv1175c,fadH,1306202,2025,NADPH dependent 2,,
Rv1176c,,1308223,570,hypothetical protein,152,Rv1176c.fasta
Rv1177,fdxC,1309005,327,ferredoxin FdxC,65,Rv1177.fasta
Rv1178,,1309364,1089,aminotransferase,313,Rv1178.fasta
Rv1181,pks4,1315234,4749,polyketide beta-ketoacyl synthase,1097,Rv1181.fasta
Rv1182,papA3,1320035,1419,acyltransferase PapA,299,Rv1182.fasta
Rv1183,mmpL10,1321520,3009,transmembrane transport protein MmpL10,778,Rv1183.fasta
Rv1184c,,1324532,1080,hypothetical protein,306,Rv1184c.fasta
Rv1185c,fadD21,1325776,1737,fatty-acid--CoA ligase FadD21,401,Rv1185c.fasta
Rv1186c,,1327689,1617,hypothetical protein,497,Rv1186c.fasta
Rv1187,rocA,1329390,1632,pyrroline-5-carboxylate dehydrogenase RocA,446,Rv1187.fasta
Rv1188,,1331021,990,proline dehydrogenase,325,Rv1188.fasta
Rv1192,,1334927,828,hypothetical protein,258,Rv1192.fasta
Rv1193,fadD36,1335794,1422,fatty-acid--CoA ligase FadD36,363,Rv1193.fasta
Rv1194c,,1337248,1266,hypothetical protein,494,Rv1194c.fasta
Rv1201c,dapD,1344216,954,2,,
Rv1202,dapE,1345260,1065,succinyl-diaminopimelate desuccinylase DapE,200,Rv1202.fasta
Rv1203c,,1346321,585,hypothetical protein,179,Rv1203c.fasta
Rv1204c,,1346936,1689,hypothetical protein,515,Rv1204c.fasta
Rv1206,fadD6,1349332,1794,fatty-acid--CoA ligase FadD6,399,Rv1206.fasta
Rv1207,folP2,1351191,957,dihydropteroate synthase,236,Rv1207.fasta
Rv1208,gpgS,1352144,975,glucosyl-3-phosphoglycerate synthase,212,Rv1208.fasta
Rv1209,,1353157,369,hypothetical protein,107,Rv1209.fasta
Rv1210,tagA,1353522,615,DNA-3-methyladenine glycosylase I TagA,141,Rv1210.fasta
Rv1211,,1354243,228,hypothetical protein,44,Rv1211.fasta
Rv1212c,glgA,1354498,1164,capsular glucan synthase,298,Rv1212c.fasta
Rv1213,glgC,1355836,1215,glucose-1-phosphate adenylyltransferase,347,Rv1213.fasta
Rv1215c,,1357759,1686,hypothetical protein,593,Rv1215c.fasta
Rv1216c,,1359472,675,integral membrane protein,169,Rv1216c.fasta
Rv1217c,,1360155,1647,tetronasin ABC transporter integral membrane protein,523,Rv1217c.fasta
Rv1218c,,1361798,936,tetronasin ABC transporter ATP-binding protein,292,Rv1218c.fasta
Rv1220c,,1363503,648,methyltransferase,153,Rv1220c.fasta
Rv1221,sigE,1364413,774,ECF RNA polymerase sigma factor SigE,172,Rv1221.fasta
Rv1222,rseA,1365344,465,anti-sigma E factor RseA,122,Rv1222.fasta
Rv1223,htrA,1365875,1587,serine protease HtrA,417,Rv1223.fasta
Rv1224,tatB,1367463,396,Sec-independent protein translocase protein TatB,100,Rv1224.fasta
Rv1225c,,1367891,831,hypothetical protein,220,Rv1225c.fasta
Rv1226c,,1368832,1464,transmembrane protein,449,Rv1226c.fasta
Rv1227c,,1370292,534,transmembrane protein,163,Rv1227c.fasta
Rv1228,lpqX,1370920,558,lipoprotein LpqX,199,Rv1228.fasta
Rv1228a,,1371529,174,hypothetical protein,65,Rv1228a.fasta
Rv1229c,mrp,1371777,1173,Mrp-like protein,333,Rv1229c.fasta
Rv1230c,,1372962,1236,membrane protein,393,Rv1230c.fasta
Rv1231c,,1374322,543,membrane protein,143,Rv1231c.fasta
Rv1232c,,1374861,1308,hypothetical protein,405,Rv1232c.fasta
Rv1233c,,1376230,597,hypothetical protein,183,Rv1233c.fasta
Rv1234,,1376976,528,transmembrane protein,127,Rv1234.fasta
Rv1235,lpqY,1377524,1407,trehalose ABC transporter substrate-binding lipoprotein LpqY,335,Rv1235.fasta
Rv1236,sugA,1378927,924,sugar ABC transporter permease SugA,250,Rv1236.fasta
Rv1237,sugB,1379855,825,sugar ABC transporter permease SugB,181,Rv1237.fasta
Rv1238,sugC,1380684,1182,sugar ABC transporter ATP-binding protein SugC,241,Rv1238.fasta
Rv1239c,corA,1381942,1101,magnesium and cobalt transport transmembrane protein CorA,234,Rv1239c.fasta
Rv1240,mdh,1383213,990,malate dehydrogenase,232,Rv1240.fasta
Rv1241,vapB33,1384278,261,antitoxin VapB33,83,Rv1241.fasta
Rv1242,vapC33,1384535,432,ribonuclease VapC33,127,Rv1242.fasta
Rv1244,lpqZ,1386857,861,lipoprotein LpqZ,272,Rv1244.fasta
Rv1245c,,1387798,831,short-chain type dehydrogenase/reductase,228,Rv1245c.fasta
Rv1246c,relE,1388685,294,toxin RelE,72,Rv1246c.fasta
Rv1247c,relB,1388975,270,antitoxin RelB,61,Rv1247c.fasta
Rv1248c,,1389357,3696,multifunctional 2-oxoglutarate dehydrogenase E1 component /2-oxoglutarate dehydrogenase dihydrolipoyllysine-residue succinyltransferase,844,Rv1248c.fasta
Rv1249c,,1393194,789,membrane protein,217,Rv1249c.fasta
Rv1251c,,1395821,3420,hypothetical protein,915,Rv1251c.fasta
Rv1252c,lprE,1399296,609,lipoprotein LprE,147,Rv1252c.fasta
Rv1253,deaD,1399970,1692,ATP-dependent RNA helicase DeaD,542,Rv1253.fasta
Rv1254,,1401658,1152,acyltransferase,275,Rv1254.fasta
Rv1258c,,1406081,1260,multidrug-efflux transporter,327,Rv1258c.fasta
Rv1259,udgB,1407339,900,uracil DNA glycosylase,251,Rv1259.fasta
Rv1260,,1408240,1119,oxidoreductase,247,Rv1260.fasta
Rv1261c,,1409484,450,hypothetical protein,135,Rv1261c.fasta
Rv1262c,,1409938,435,hypothetical protein,134,Rv1262c.fasta
Rv1263,amiB2,1410431,1389,amidase AmiB2,390,Rv1263.fasta
Rv1264,,1411894,1194,adenylyl cyclase,373,Rv1264.fasta
Rv1265,,1413260,681,hypothetical protein,204,Rv1265.fasta
Rv1267c,embR,1416181,1167,transcriptional regulator EmbR,288,Rv1267c.fasta
Rv1268c,,1417658,699,hypothetical protein,240,Rv1268c.fasta
Rv1269c,,1418579,375,hypothetical protein,128,Rv1269c.fasta
Rv1270c,lprA,1419014,735,lipoprotein LprA,180,Rv1270c.fasta
Rv1271c,,1419961,342,hypothetical protein,107,Rv1271c.fasta
Rv1272c,,1420410,1896,drug ABC transporter ATP-binding protein,413,Rv1272c.fasta
Rv1273c,,1422302,1749,drug ABC transporter ATP-binding protein,432,Rv1273c.fasta
Rv1274,lprB,1424197,558,lipoprotein LprB,123,Rv1274.fasta
Rv1275,lprC,1424751,543,lipoprotein LprC,140,Rv1275.fasta
Rv1276c,,1425438,477,hypothetical protein,139,Rv1276c.fasta
Rv1277,,1426164,1254,hypothetical protein,277,Rv1277.fasta
Rv1278,,1427414,2628,hypothetical protein,639,Rv1278.fasta
Rv1279,,1430062,1587,GMC-type oxidoreductase,416,Rv1279.fasta
Rv1281c,oppD,1433433,1839,oligopeptide ABC transporter ATP-binding protein OppD,441,Rv1281c.fasta
Rv1282c,oppC,1435268,876,oligopeptide ABC transporter permease OppC,219,Rv1282c.fasta
Rv1283c,oppB,1436140,978,oligopeptide ABC transporter permease OppB,264,Rv1283c.fasta
Rv1284,canA,1437324,492,beta-carbonic anhydrase,115,Rv1284.fasta
Rv1285,cysD,1437909,999,sulfate adenylyltransferase subunit 2,291,Rv1285.fasta
Rv1286,,1438907,1845,bifunctional sulfate adenyltransferase subunit 1 CysN/adenylylsulfate kinase CysC,509,Rv1286.fasta
Rv1287,,1440805,486,HTH-type transcriptional regulator,100,Rv1287.fasta
Rv1289,,1442767,633,hypothetical protein,192,Rv1289.fasta
Rv1290A,,1445058,315,hypothetical protein,173,Rv1290A.fasta
Rv1291c,,1445499,336,hypothetical protein,95,Rv1291c.fasta
Rv1292,argS,1446379,1653,arginine--tRNA ligase,378,Rv1292.fasta
Rv1293,lysA,1448028,1344,diaminopimelate decarboxylase,296,Rv1293.fasta
Rv1294,thrA,1449375,1326,homoserine dehydrogenase,282,Rv1294.fasta
Rv1295,thrC,1450697,1083,threonine synthase,239,Rv1295.fasta
Rv1296,thrB,1451997,951,homoserine kinase,204,Rv1296.fasta
Rv1298,rpmE,1455163,243,50S ribosomal protein L31,59,Rv1298.fasta
Rv1299,prfA,1455495,1074,peptide chain release factor PrfA,184,Rv1299.fasta
Rv1300,hemK,1456565,978,release factor glutamine methyltransferase,235,Rv1300.fasta
Rv1301,,1457558,654,threonylcarbamoyl-AMP synthase,149,Rv1301.fasta
Rv1302,rfe,1458295,1215,decaprenyl-phosphate N-acetylglucosaminephosphotransferase,210,Rv1302.fasta
Rv1304,atpB,1460244,753,ATP synthase subunit A,179,Rv1304.fasta
Rv1305,atpE,1461045,246,ATP synthase subunit C,62,Rv1305.fasta
Rv1306,atpF,1461321,516,ATP synthase subunit B,131,Rv1306.fasta
Rv1307,atpH,1461843,1341,ATP synthase subunit b/delta,334,Rv1307.fasta
Rv1308,atpA,1463228,1650,ATP synthase subunit alpha,359,Rv1308.fasta
Rv1309,atpG,1464884,918,ATP synthase subunit gamma,232,Rv1309.fasta
Rv1310,atpD,1465841,1461,ATP synthase subunit beta,240,Rv1310.fasta
Rv1311,atpC,1467315,366,ATP synthase subunit epsilon,104,Rv1311.fasta
Rv1312,,1467688,444,hypothetical protein,111,Rv1312.fasta
Rv1315,murA,1470321,1257,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,230,Rv1315.fasta
Rv1316c,ogt,1477134,498,methylated-DNA--protein-cysteine methyltransferase,169,Rv1316c.fasta
Rv1317c,alkA,1477628,1491,bifunctional regulatory protein/DNA repair enzyme AlkA,518,Rv1317c.fasta
Rv1318c,,1479199,1626,adenylate cyclase,495,Rv1318c.fasta
Rv1319c,,1480894,1608,adenylate cyclase,260,Rv1319c.fasta
Rv1320c,,1482514,1704,adenylate cyclase,534,Rv1320c.fasta
Rv1321,,1484279,681,endonuclease NucS,166,Rv1321.fasta
Rv1322,,1484982,297,hypothetical protein,105,Rv1322.fasta
Rv1322A,,1485313,459,hypothetical protein,142,Rv1322A.fasta
Rv1323,fadA4,1485862,1170,acetyl-CoA acetyltransferase,329,Rv1323.fasta
Rv1324,,1487161,915,thioredoxin,249,Rv1324.fasta
Rv1326c,glgB,1490117,2196,1,,
Rv1327c,glgE,1492320,2106,alpha-1,,
Rv1328,glgP,1494564,2592,glycogen phosphorylase,637,Rv1328.fasta
Rv1329c,dinG,1497195,1995,ATP-dependent helicase DinG,552,Rv1329c.fasta
Rv1330c,pncB1,1499213,1347,nicotinic acid phosphoribosyltransferase PncB1,392,Rv1330c.fasta
Rv1332,,1500926,657,transcriptional regulator,171,Rv1332.fasta
Rv1338,murI,1505075,816,glutamate racemase,220,Rv1338.fasta
Rv1339,,1505917,822,hypothetical protein,198,Rv1339.fasta
Rv1340,rphA,1506755,780,ribonuclease PH,181,Rv1340.fasta
Rv1341,,1507573,615,non-canonical purine NTP pyrophosphatase,171,Rv1341.fasta
Rv1342c,,1508184,363,hypothetical protein,91,Rv1342c.fasta
Rv1343c,lprD,1508543,381,lipoprotein LprD,127,Rv1343c.fasta
Rv1345,mbtM,1509281,1566,long-chain-fatty-acid--ACP ligase MbtM,344,Rv1345.fasta
Rv1346,mbtN,1510846,1161,acyl-ACP dehydrogenase MbtN,210,Rv1346.fasta
Rv1348,irtA,1513047,2580,iron ABC transporter ATP-binding protein/permease IrtA,579,Rv1348.fasta
Rv1349,irtB,1515623,1740,iron ABC transporter ATP-binding protein/permease IrtB,398,Rv1349.fasta
Rv1350,fabG2,1517491,744,3-oxoacyl-ACP reductase FabG,176,Rv1350.fasta
Rv1351,,1518231,330,hypothetical protein,99,Rv1351.fasta
Rv1352,,1518763,372,hypothetical protein,132,Rv1352.fasta
Rv1357c,,1525293,924,hypothetical protein,287,Rv1357c.fasta
Rv1358,,1526612,3480,transcriptional regulator,889,Rv1358.fasta
Rv1359,,1530173,753,transcriptional regulator,221,Rv1359.fasta
Rv1360,,1531348,1023,oxidoreductase,270,Rv1360.fasta
Rv1362c,,1533948,663,membrane protein,180,Rv1362c.fasta
Rv1363c,,1534607,786,membrane protein,240,Rv1363c.fasta
Rv1372,,1544825,1182,alpha-pyrone synthesis polyketide synthase-like protein,355,Rv1372.fasta
Rv1373,,1546012,981,glycolipid sulfotransferase,303,Rv1373.fasta
Rv1374c,,1547072,459,hypothetical protein,172,Rv1374c.fasta
Rv1375,,1547832,1320,hypothetical protein,426,Rv1375.fasta
Rv1376,,1549148,1494,hypothetical protein,464,Rv1376.fasta
Rv1378c,,1551228,1428,hypothetical protein,449,Rv1378c.fasta
Rv1379,pyrR,1552654,582,bifunctional pyrimidine operon regulatory protein/uracil phosphoribosyltransferase,168,Rv1379.fasta
Rv1380,pyrB,1553232,960,aspartate carbamoyltransferase,229,Rv1380.fasta
Rv1381,pyrC,1554188,1293,dihydroorotase,330,Rv1381.fasta
Rv1382,,1555477,498,hypothetical protein,160,Rv1382.fasta
Rv1383,carA,1555971,1131,carbamoyl-phosphate synthase small subunit,281,Rv1383.fasta
Rv1384,carB,1557101,3348,carbamoyl-phosphate synthase large subunit,885,Rv1384.fasta
Rv1388,mihF,1563694,573,integration host factor MihF,147,Rv1388.fasta
Rv1389,gmk,1564401,627,guanylate kinase,158,Rv1389.fasta
Rv1390,rpoZ,1565093,333,DNA-directed RNA polymerase subunit omega,89,Rv1390.fasta
Rv1391,dfp,1565441,1257,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase,347,Rv1391.fasta
Rv1392,metK,1566825,1212,S-adenosylmethionine synthetase,304,Rv1392.fasta
Rv1393c,,1568109,1479,monoxygenase,417,Rv1393c.fasta
Rv1394c,cyp132,1569584,1386,cytochrome P450 Cyp132,395,Rv1394c.fasta
Rv1395,,1571047,1035,HTH-type transcriptional regulator,281,Rv1395.fasta
Rv1397c,vapC10,1574112,402,ribonuclease VapC10,118,Rv1397c.fasta
Rv1398c,vapB10,1574510,258,antitoxin VapB10,107,Rv1398c.fasta
Rv1399c,nlhH,1574850,960,carboxylesterase NlhH,279,Rv1399c.fasta
Rv1400c,lipI,1575834,963,lipase,257,Rv1400c.fasta
Rv1401,,1576930,603,membrane protein,177,Rv1401.fasta
Rv1402,priA,1577613,1968,primosomal protein N',460,Rv1402.fasta
Rv1403c,,1579598,825,methyltransferase,241,Rv1403c.fasta
Rv1404,,1580591,483,transcriptional regulator,109,Rv1404.fasta
Rv1405c,,1581145,825,methyltransferase,226,Rv1405c.fasta
Rv1406,fmt,1582166,939,methionyl-tRNA formyltransferase,254,Rv1406.fasta
Rv1407,fmu,1583101,1374,methyltransferase,418,Rv1407.fasta
Rv1408,rpe,1584499,699,ribulose-phosphate 3-epimerase,152,Rv1408.fasta
Rv1409,ribG,1585194,1020,bifunctional riboflavin biosynthesis diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino) uracil reductase,210,Rv1409.fasta
Rv1410c,,1586210,1557,aminoglycosides/tetracycline-transport integral membrane protein,372,Rv1410c.fasta
Rv1411c,lprG,1587772,711,lipoprotein LprG,207,Rv1411c.fasta
Rv1412,ribC,1588567,606,riboflavin synthase,144,Rv1412.fasta
Rv1413,,1589386,516,hypothetical protein,172,Rv1413.fasta
Rv1415,ribA2,1590397,1278,bifunctional riboflavin biosynthesis GTP cyclohydrolase II/3,,
Rv1416,ribH,1591671,483,6,,
Rv1417,,1592150,465,membrane protein,134,Rv1417.fasta
Rv1418,lprH,1592639,687,lipoprotein LprH,197,Rv1418.fasta
Rv1419,,1593505,474,hypothetical protein,155,Rv1419.fasta
Rv1420,uvrC,1594042,1941,excinuclease ABC subunit UvrC,473,Rv1420.fasta
Rv1421,,1595979,906,hypothetical protein,203,Rv1421.fasta
Rv1422,,1596881,1029,hypothetical protein,262,Rv1422.fasta
Rv1423,whiA,1597906,978,transcriptional regulator WhiA,379,Rv1423.fasta
Rv1424c,,1598893,762,membrane protein,220,Rv1424c.fasta
Rv1425,,1599658,1380,diacyglycerol O-acyltransferase,354,Rv1425.fasta
Rv1426c,lipO,1601059,1263,esterase LipO,404,Rv1426c.fasta
Rv1427c,fadD12,1602321,1608,long-chain-fatty-acid--CoA ligase FadD12,425,Rv1427c.fasta
Rv1428c,,1603932,828,hypothetical protein,243,Rv1428c.fasta
Rv1429,,1604878,1269,hypothetical protein,338,Rv1429.fasta
Rv1431,,1608083,1770,hypothetical protein,516,Rv1431.fasta
Rv1432,,1609849,1422,dehydrogenase,290,Rv1432.fasta
